Timestamp,Algorithm,Grammar,String name,String,Characters,Tokens,Outcome,Status,CPUs,Tok/s,Desc,GSS N,GSS E,Pop,SPPF S/I,SPPF P,SPPF E,Ambig,Heap,Heap/tok,Exact,Exact/tok,Tables,Tables/tok,Pool,Pool/tok,H0,H1,H2,H3,H4+
2023-10-29 20:54:55,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,1937.50,11053,152,6865,2206,1860,14010,41070,812,936,30.19,418757,13508.29,65476287,2112138.29,879224,28362.06,25972775,28936,2621,70,192,
2023-10-29 20:54:55,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,659.57,11053,152,6865,2206,1860,14010,41070,812,2693912,86900.39
2023-10-29 20:54:56,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,1937.50,11053,152,6865,2206,1860,14010,41070,812,936,30.19,418757,13508.29,65476287,2112138.29,879224,28362.06,25972775,28936,2621,70,192,
2023-10-29 20:54:56,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,659.57,11053,152,6865,2206,1860,14010,41070,812,2693912,86900.39
2023-10-29 20:54:56,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,1937.50,11053,152,6865,2206,1860,14010,41070,812,936,30.19,418757,13508.29,65476287,2112138.29,879224,28362.06,25972775,28936,2621,70,192,
2023-10-29 20:54:57,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,659.57,11053,152,6865,2206,1860,14010,41070,812,2693912,86900.39
2023-10-29 20:54:57,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,1937.50,11053,152,6865,2206,1860,14010,41070,812,936,30.19,418757,13508.29,65476287,2112138.29,879224,28362.06,25972775,28936,2621,70,192,
2023-10-29 20:54:57,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,659.57,11053,152,6865,2206,1860,14010,41070,812,2693912,86900.39
2023-10-29 20:54:58,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,2066.67,11053,152,6865,2206,1860,14010,41070,812,936,30.19,418757,13508.29,65476287,2112138.29,879224,28362.06,25972775,28936,2621,70,192,
2023-10-29 20:54:58,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,1000.00,11053,152,6865,2206,1860,14010,41070,812,2693912,86900.39
2023-10-29 20:54:58,GLLHashPool,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,2066.67,11053,152,6865,2206,1860,14010,41070,812,936,30.19,418757,13508.29,65476287,2112138.29,879224,28362.06,25972775,28936,2621,70,192,
2023-10-29 20:54:59,GLLBaseLine,..\rhulTests\torture.art,..\rhulTests\b30.str,'bbbbbbbbbb',30,31,Accept,Good,,659.57,11053,152,6865,2206,1860,14010,41070,812,2693912,86900.39
